Designator,Footprint,X,Y,Layer,Rotation,Comment
C1,1206,-1292.6,536.016,TOP,90,CAP
C2,0603,-1362.6,508.016,TOP,-90,CAP
C3,0603,-1420,549,TOP,270,CAP
C4,1206,-1847.67,475,TOP,180,CAP
C5,1206,-1847,560,TOP,180,CAP
C6,0603,-3185,1999,TOP,270,CAP
C7,0603,-2012.24,208.5,TOP,90,CAP
C8,0603,-2547.24,-20.7126,TOP,90,CAP
C9,0603,-3082.76,-20.7126,TOP,90,CAP
C10,0603,-3065,566,TOP,90,CAP
C11,0603,-2604.03,1104.8,TOP,180,CAP
C12,0603,-2285,846,TOP,90,CAP
C13,0603,-2319,1790,TOP,0,CAP
C14,0603,-2994,1355,TOP,180,CAP
C15,0603,-3010,566,TOP,90,CAP
C16,1206,-3440.94,1558.06,TOP,270,CAP
C17,1206,-3270,2027,TOP,-90,CAP
C18,0603,-3496,1765,TOP,180,CAP
J1,SFW12R,-3148.46,1810.63,BOT,0,CONN
R1,0603,-3130,1999,TOP,90,RES
R2,0603,-2701,1865,TOP,-180,RES
R3,0603,-2680,566,TOP,90,RES
RN1,RESCAV50P100X200X45-8,-2087.72,156.654,TOP,-90,RESNET
RN2,RESCAV50P100X200X45-8,-2192.72,156.654,TOP,-90,RESNET
RN3,RESCAV50P100X200X45-8,-2332.72,156.654,TOP,-90,RESNET
RN4,RESCAV50P100X200X45-8,-2437.72,156.654,TOP,-90,RESNET
RN5,RESCAV50P100X200X45-8,-2627.72,-72.5591,TOP,270,RESNET
RN6,RESCAV50P100X200X45-8,-2732.72,-72.5591,TOP,270,RESNET
RN7,RESCAV50P100X200X45-8,-2872.72,-72.5591,TOP,270,RESNET
RN8,RESCAV50P100X200X45-8,-2977.72,-72.5591,TOP,270,RESNET
RN9,RESCAV50P100X200X45-8,-3162.91,-56.6535,TOP,270,RESNET
RN10,RESCAV50P100X200X45-8,-3268.23,-56.6535,TOP,270,RESNET
RN11,RESCAV50P100X200X45-8,-3388.23,-56.6535,TOP,270,RESNET
RN12,RESCAV50P100X200X45-8,-3493.23,-56.6535,TOP,270,RESNET
RN13,RESCAV50P100X200X45-8,-2795.47,1946.65,TOP,270,RESNET
U1,SOP65P490X110-9A,-1588.39,513.386,TOP,-180,IC
U2,SOP50P810X110-48,-2263.62,455.394,TOP,90,IC
U3,SOP50P810X110-48,-2798.62,225.394,TOP,90,IC
U4,SOP50P810X110-48,-3336.38,225.394,TOP,90,IC
U5,QFP50P1600X1600X120-100-NOFID,-3024.33,972.953,TOP,90,IC
U6,SOP50P2000X120-48,-2276.38,1337.8,TOP,90,IC
U7,QFP50P1200X1200X160-64B,-3052.36,1669.41,TOP,270,IC
U8,TSSOP14,-3453.23,1940.16,TOP,90,IC
X1,CSTNE,-2995,1985,TOP,180,OSC
